id,date,systeme_id,asset_id,usure,probabilite_journaliere,cout
FAIL_A560A8A4,2027-04-22,SYS_021,AST_D9C8B800,0.545288,0.00028485,7854.35
FAIL_E778DF40,2027-04-22,SYS_106,AST_073EFF6D,0.614937,0.00030752,7937.92
FAIL_9FE427AD,2027-04-23,SYS_008,AST_79A35ADE,0.533413,0.00028131,7840.1
FAIL_7A17DF78,2027-05-14,SYS_045,AST_DD092180,0.781296,0.00037374,8137.56
FAIL_32260BEA,2027-05-17,SYS_139,AST_AEE8642D,0.757599,0.00036473,8109.12
FAIL_7DA9628B,2027-05-20,SYS_183,AST_C80EB9D6,0.690404,0.0003393,8028.48
FAIL_7DD9A4C6,2027-06-01,SYS_049,AST_05201D43,1.040422,0.0005019,8448.51
FAIL_AEA96F0E,2027-06-09,SYS_032,AST_A6ECDD7E,1.044661,0.00050646,8453.59
FAIL_F681AC27,2027-06-22,SYS_153,AST_8606AD6F,1.074449,0.00052707,8489.34
FAIL_D70E5DF7,2027-06-28,SYS_020,AST_1737BF53,1.111602,0.00055086,8533.92
FAIL_844B17E9,2027-07-09,SYS_024,AST_E052AE7E,1.34657,0.00071758,8815.88
FAIL_B7A06265,2027-08-06,SYS_136,AST_E69386EF,1.457531,0.00082323,8949.04
FAIL_D78FAABB,2027-08-08,SYS_006,AST_61C7E47F,1.47668,0.00084167,8972.02
FAIL_8E53AF86,2027-08-10,SYS_066,AST_8127132B,1.426844,0.00079766,8912.21
FAIL_61F7EBE5,2027-10-05,SYS_068,AST_D7E8439B,0.288641,0.00021083,7546.37
FAIL_3EE717C3,2027-10-06,SYS_129,AST_FFC47DE0,0.3344,0.00022183,7601.28
FAIL_47FFAAB2,2027-10-17,SYS_183,AST_04CD7B04,1.129123,0.00056373,8554.95
FAIL_141FD294,2027-10-23,SYS_140,AST_CF47D0AF,0.423938,0.00024708,7708.73
FAIL_2C867FD6,2027-11-02,SYS_150,AST_017B7DC5,1.270293,0.00065624,8724.35
FAIL_6EADB98E,2027-11-20,SYS_140,AST_09272A4B,0.149908,0.00017961,7379.89
FAIL_D21FFFEF,2027-12-19,SYS_175,AST_6982E85B,0.860071,0.00041183,8232.09
FAIL_574E513A,2027-12-21,SYS_173,AST_8786AECC,0.945769,0.00045303,8334.92
FAIL_2993C96A,2027-12-27,SYS_031,AST_88AE5FDC,0.939932,0.00045161,8327.92
